code,name,latitude,longitude,altitude,postal,city
7015,LaSalle / 4e avenue,45.43074022417498,-73.5919108253438,21,H8P 1Y1,Montréal
6714,LaSalle / SÃ©nÃ©cal,45.43443353453236,-73.58669400215149,19,H8P 1X2,Montréal
6712,LaSalle / Crawford,45.43791380065227,-73.58274042606354,20,H4H,Montréal
6715,Natatorium (LaSalle / Rolland),45.44440817060518,-73.57556819915771,17,H4H 1P9,Montréal
7048,MÃ©tro Angrignon,45.446534244545326,-73.60354088363238,23,H4E 4J3,Montréal
7056,Godin / Bannantyne,45.4475536968409,-73.57726335525513,18,H4H 2B6,Montréal
7051,Jogues / Allard,45.449900812620385,-73.60025119094644,24,H4E 2M7,Montréal
6706,Beatty / de Verdun,45.450729976972944,-73.5725748538971,17,H4H,Montréal
6725,MÃ©tro Monk (Allard / Beaulieu),45.45085122,-73.5940272,24,H4E 3G4,Montréal
7059,Argyle / Bannantyne,45.45324567428996,-73.57681475579739,16,H4H,Montréal
6309,5e avenue / de Verdun,45.456049,-73.571877,16,H4G 1N5,Montréal
6744,Hamilton / Jolicoeur,45.456355,-73.597557,25,H4E 1Y6,Montréal
6369,West Broadway / Sherbrooke,45.45635829051657,-73.64013027457986,55,H4B 1R7,Montréal
6705,5e avenue / Bannantyne,45.456365,-73.57614,16,H4G 1G3,Montréal
6707,MÃ©tro Jolicoeur (Drake / de SÃ¨ve),45.456498000831544,-73.58214363455772,21,H4E 4J6,Montréal
6754,Eadie / Dubois,45.45759682462104,-73.59052859581423,21,H4E 1W3,Montréal
7057,2e avenue / Wellington,45.45789352611307,-73.56752824096475,15,H4G 2W4,Montréal
7010,Belmore / Sherbrooke,45.459233060280816,-73.63740515022073,58,H4B 2B9,Montréal
6426,MÃ©tro Verdun (Willibrord / de Verdun),45.459487694540734,-73.57209205627441,17,H4G 2T8,Montréal
6428,Berlioz / de l'ÃŽle des Soeurs,45.45998577640931,-73.54395568370819,14,H3E 1C1,Montréal
6719,Park Row O / Sherbrooke,45.46072936353252,-73.63407254219055,60,H4B 2G4,Montréal
7058,Gordon / Wellington,45.461077990108386,-73.56730699539183,14,H4G 1V9,Montréal
6709,Le Caron / Marc-Sauvalle ,45.461685,-73.584039,21,H4E 4E1,Montréal
6742,Briand / le Caron,45.462362,-73.59665,21,H4E 0A1,Montréal
